country,improvement,region,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018
Thailand,-15.22,Asia & Pacific,0.188,0.183,0.171,0.158,0.142,0.125,0.11,0.10300000000000001,0.1,0.098,0.092,0.087,0.084,0.08199999999999999,0.08,0.079,0.078,0.078
Honduras,-15.13,South/Latin America,0.196,0.185,0.17800000000000002,0.175,0.17300000000000001,0.17,0.163,0.157,0.153,0.152,0.152,0.152,0.151,0.14800000000000002,0.145,0.139,0.133,0.129
Saint Vincent and the Grenadines,-14.93,South/Latin America,0.16699999999999998,0.14800000000000002,0.127,0.111,0.098,0.091,0.084,0.078,0.07400000000000001,0.07,0.067,0.064,0.06,0.057,0.055,0.057,0.057999999999999996,0.057
Timor-Leste,-14.73,Asia & Pacific,0.40399999999999997,0.35600000000000004,0.318,0.305,0.306,0.313,0.315,0.315,0.31,0.305,0.292,0.27899999999999997,0.267,0.265,0.263,0.261,0.254,0.249
Kyrgyzstan,-14.46,Asia & Pacific,0.163,0.158,0.14400000000000002,0.12,0.10300000000000001,0.09699999999999999,0.10099999999999999,0.102,0.098,0.09,0.083,0.078,0.073,0.069,0.066,0.066,0.068,0.071
Benin,-14.41,Africa,0.22699999999999998,0.20600000000000002,0.18600000000000003,0.174,0.163,0.154,0.14300000000000002,0.133,0.127,0.121,0.11800000000000001,0.113,0.10800000000000001,0.102,0.095,0.099,0.10099999999999999,0.10099999999999999
Cameroon,-13.91,Africa,0.308,0.285,0.265,0.244,0.22399999999999998,0.203,0.182,0.162,0.14400000000000002,0.129,0.115,0.10099999999999999,0.08900000000000001,0.08,0.073,0.077,0.087,0.099
Nepal,-13.86,Asia & Pacific,0.22,0.214,0.204,0.187,0.172,0.16,0.152,0.14,0.126,0.11199999999999999,0.10099999999999999,0.094,0.09,0.09,0.092,0.092,0.09,0.087
Senegal,-13.74,Africa,0.287,0.276,0.267,0.252,0.23399999999999999,0.21600000000000003,0.192,0.16899999999999998,0.147,0.136,0.131,0.131,0.133,0.135,0.134,0.13,0.12,0.113
Peru,-13.39,South/Latin America,0.218,0.217,0.223,0.226,0.21600000000000003,0.196,0.17600000000000002,0.157,0.142,0.126,0.11199999999999999,0.10099999999999999,0.094,0.092,0.092,0.095,0.09699999999999999,0.09699999999999999
Côte d'Ivoire,-13.24,Africa,0.204,0.215,0.217,0.213,0.205,0.2,0.2,0.205,0.213,0.218,0.21899999999999997,0.21600000000000003,0.215,0.214,0.21,0.204,0.196,0.19
Bangladesh,-13.02,Asia & Pacific,0.20800000000000002,0.187,0.182,0.175,0.171,0.166,0.163,0.163,0.16399999999999998,0.166,0.16899999999999998,0.16899999999999998,0.16899999999999998,0.166,0.162,0.157,0.152,0.147
